nama_produk,kategori,warna,harga,diskon_pct,harga_diskon,ada_promo,rating,terjual,url_gambar,url_produk
Crocs Unisex Classic Clog - Black,Unisex,Black,989000,1,979110.0,1,4.9,5000,https://down-id.img.susercontent.com/file/sg-11134201-7rccu-m6glfxsjr5wb9a_tn.webp,https://shopee.co.id/Crocs-Unisex-Classic-Clog-Black-i.950653320.18375917872?extraParams=%7B%22display_model_id%22%3A214034517278%2C%22model_selection_logic%22%3A3%7D
Crocs Unisex Classic Clog - Navy,Unisex,Navy,989000,1,979110.0,1,4.9,1000,https://down-id.img.susercontent.com/file/sg-11134201-824gl-mf2kmscx8wlpd4_tn.webp,https://shopee.co.id/Crocs-Unisex-Classic-Clog-Navy-i.950653320.22131491997?extraParams=%7B%22display_model_id%22%3A231218624300%2C%22model_selection_logic%22%3A3%7D
Crocs Unisex Classic Clog - White,Unisex,White,989000,1,979110.0,1,4.9,6000,https://down-id.img.susercontent.com/file/sg-11134201-7rccd-m6glg0oliw3w1d_tn.webp,https://shopee.co.id/Crocs-Unisex-Classic-Clog-White-i.950653320.22831476125?extraParams=%7B%22display_model_id%22%3A231218547758%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Bone,Unisex,Bone,989000,1,979110.0,1,4.9,5000,https://down-id.img.susercontent.com/file/sg-11134201-7rcd6-m6glg4pzm50y83_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Bone-i.950653320.22631490898?extraParams=%7B%22display_model_id%22%3A88646845969%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Atmosphere,Unisex,Atmosphere,989000,1,979110.0,1,4.9,2000,https://down-id.img.susercontent.com/file/sg-11134201-7rcek-m6glg22tk6my57_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Atmosphere-i.950653320.14096871339?extraParams=%7B%22display_model_id%22%3A204034469748%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Field Green,Unisex,Field Green,989000,1,979110.0,1,4.9,0,https://down-id.img.susercontent.com/file/sg-11134201-81zvy-mipv5eaxvy87b5_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Field-Green-i.950653320.52253786310?extraParams=%7B%22display_model_id%22%3A287291288696%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Platform Women's Clog - Black,Women,Black,1489000,1,1474110.0,1,4.9,870,https://down-id.img.susercontent.com/file/sg-11134201-7rcem-m6glgfv7cd2981_tn.webp,https://shopee.co.id/Crocs-Classic-Platform-Women's-Clog-Black-i.950653320.23933688844?extraParams=%7B%22display_model_id%22%3A88658903232%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Taupe,Unisex,Taupe,989000,1,979110.0,1,4.9,218,https://down-id.img.susercontent.com/file/sg-11134201-81zwf-mipv58df0q9sd4_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Taupe-i.950653320.58003795248?extraParams=%7B%22display_model_id%22%3A282291288771%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Meteor,Unisex,Meteor,989000,1,979110.0,1,4.9,56,https://down-id.img.susercontent.com/file/sg-11134201-81ztf-mipv54z6fvnsbc_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Meteor-i.950653320.58003795211?extraParams=%7B%22display_model_id%22%3A287291288694%2C%22model_selection_logic%22%3A3%7D
Crocs Women's Classic Platform Clog - White,Women,White,1489000,1,1474110.0,1,4.9,2000,https://down-id.img.susercontent.com/file/sg-11134201-824hj-mf2kn0jkbxu782_tn.webp,https://shopee.co.id/Crocs-Women's-Classic-Platform-Clog-White-i.950653320.20376623059?extraParams=%7B%22display_model_id%22%3A108018443397%2C%22model_selection_logic%22%3A3%7D
Crocs Kids Classic Clog - Black,Kids,Black,749000,1,741510.0,1,4.9,1000,https://down-id.img.susercontent.com/file/sg-11134201-824je-mf2kn2w49zin44_tn.webp,https://shopee.co.id/Crocs-Kids-Classic-Clog-Black-i.950653320.22531469710?extraParams=%7B%22display_model_id%22%3A214034393411%2C%22model_selection_logic%22%3A3%7D
Crocs Saturday Men Slide - Black,Men Slide,Black,469200,22,365976.0,1,4.9,0,https://down-id.img.susercontent.com/file/sg-11134201-8259j-mg7oftxd5tzc70_tn.webp,https://shopee.co.id/Crocs-Saturday-Men-Slide-Black-i.950653320.51700105693?extraParams=%7B%22display_model_id%22%3A320008398474%2C%22model_selection_logic%22%3A3%7D
Crocs Duet Max II Clog Unisex - Black,Unisex,Black,1489000,1,1474110.0,1,4.9,162,https://down-id.img.susercontent.com/file/sg-11134201-824gz-mf2knf0h54p759_tn.webp,https://shopee.co.id/Crocs-Duet-Max-II-Clog-Unisex-Black-i.950653320.22849516351?extraParams=%7B%22display_model_id%22%3A156951913765%2C%22model_selection_logic%22%3A3%7D
Crocs Healthcare 5 Pack Jibbitz,Accessories,Unknown,389000,3,377330.0,1,5.0,0,https://down-id.img.susercontent.com/file/sg-11134201-824gd-mf2kmj0sm22x4e_tn.webp,https://shopee.co.id/Crocs-Healthcare-5-Pack-Jibbitz-i.950653320.26092198509?extraParams=%7B%22display_model_id%22%3A234535709465%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Clog Unisex - Elephant,Unisex,Elephant,989000,1,979110.0,1,4.9,1000,https://down-id.img.susercontent.com/file/sg-11134201-824g3-mf2kmqii5ngo16_tn.webp,https://shopee.co.id/Crocs-Classic-Clog-Unisex-Elephant-i.950653320.18881698007?extraParams=%7B%22display_model_id%22%3A216869590491%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Unisex Clog - Blue Frost,Unisex,Blue Frost,989000,1,979110.0,1,4.9,179,https://down-id.img.susercontent.com/file/sg-11134201-824i5-mf2kmubyqyoc81_tn.webp,https://shopee.co.id/Crocs-Classic-Unisex-Clog-Blue-Frost-i.950653320.29825282628?extraParams=%7B%22display_model_id%22%3A138206821027%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Platform Glitter Women Clog - Black,Women,Black,1489000,1,1474110.0,1,4.9,338,https://down-id.img.susercontent.com/file/sg-11134201-7repy-m8a11qqdmxld18_tn.webp,https://shopee.co.id/Crocs-Classic-Platform-Glitter-Women-Clog-Black-i.950653320.27951716352?extraParams=%7B%22display_model_id%22%3A168238659434%2C%22model_selection_logic%22%3A3%7D
Crocs Classic Clog Kids - Navy,Kids,Navy,749000,1,741510.0,1,4.9,841,https://down-id.img.susercontent.com/file/sg-11134201-7ren4-m8a11hm4xtq870_tn.webp,https://shopee.co.id/Crocs-Classic-Clog-Kids-Navy-i.950653320.19475906124?extraParams=%7B%22display_model_id%22%3A98646815189%2C%22model_selection_logic%22%3A3%7D
Crocs Baya Clog Unisex - Navy,Unisex,Navy,989000,1,979110.0,1,4.9,343,https://down-id.img.susercontent.com/file/sg-11134201-7rdwe-lxm9gmil8a5ca0_tn.webp,https://shopee.co.id/Crocs-Baya-Clog-Unisex-Navy-i.950653320.24633404470?extraParams=%7B%22display_model_id%22%3A215236391269%2C%22model_selection_logic%22%3A3%7D
